Trade #,Type       ,Signal     ,Date/Time          ,Price   ,Contracts,Profit    ,ProfitPerc,ProfitEqPerc,ProfitEq ,RunUpPerc,RunUp     ,DrawdownPerc,Drawdown
1      ,Entry Long ,Enter Long ,2018-11-05 13:00:00,0.074944,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2018-11-14 01:00:00,0.074527,13004    ,-5.422668 ,-0.005564 ,-0.005423   ,-5.422668,0.0898   ,87.51692  ,0.036467    ,35.539932
2      ,Entry Short,Enter Short,2018-11-14 01:00:00,0.074527,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2018-12-19 01:00:00,0.032233,13215    ,558.9152  ,0.567499  ,0.561963    ,553.49255,0.656487 ,646.55707 ,0.006347    ,6.250695
3      ,Entry Long ,Enter Long ,2018-12-19 01:00:00,0.032233,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2019-01-13 01:00:00,0.043637,45828    ,522.6225  ,0.353799  ,0.336418    ,1076.1151,1.295784 ,1914.098  ,0.000011    ,0.015575
4      ,Entry Short,Enter Short,2019-01-13 01:00:00,0.043637,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2019-01-20 13:00:00,0.044881,47121    ,-58.618523,-0.028508 ,-0.028235   ,1017.4965,0.101703 ,209.123   ,0.060247    ,123.88111
5      ,Entry Long ,Enter Long ,2019-01-20 13:00:00,0.044881,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2019-01-21 13:00:00,0.043422,44866    ,-65.459496,-0.032508 ,-0.032446   ,952.03705,0.000007 ,0.014361  ,0.07511     ,151.24329
6      ,Entry Short,Enter Short,2019-01-21 13:00:00,0.043422,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2019-02-10 01:00:00,0.040286,44506    ,139.57082 ,0.072221  ,0.0715      ,1091.6079,0.180208 ,348.25946 ,0.054765    ,105.835266
7      ,Entry Long ,Enter Long ,2019-02-10 01:00:00,0.040286,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2019-02-27 13:00:00,0.042862,49798    ,128.27965 ,0.063943  ,0.061331    ,1219.8875,0.255374 ,512.32184 ,0.019883    ,39.8882
8      ,Entry Short,Enter Short,2019-02-27 13:00:00,0.042862,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2019-03-09 13:00:00,0.042842,51278    ,1.02556   ,0.000467  ,0.000462    ,1220.9131,0.085437 ,187.78003 ,0.038682    ,85.01892
9      ,Entry Long ,Enter Long ,2019-03-09 13:00:00,0.042842,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2019-04-13 14:00:00,0.083612,50409    ,2055.175  ,0.951636  ,0.925374    ,3276.088 ,1.377107 ,2974.0303 ,0           ,0
10     ,Entry Short,Enter Short,2019-04-13 14:00:00,0.083612,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2019-05-12 14:00:00,0.071248,50630    ,625.9893  ,0.147873  ,0.146393    ,3902.0774,0.292685 ,1239.0173 ,0.022006    ,93.1592
11     ,Entry Long ,Enter Long ,2019-05-12 14:00:00,0.071248,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2019-05-24 14:00:00,0.080252,64839    ,583.81036 ,0.126375  ,0.119094    ,4485.8877,0.413359 ,1909.5734 ,0.045587    ,210.59708
12     ,Entry Short,Enter Short,2019-05-24 14:00:00,0.080252,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2019-05-27 14:00:00,0.084075,67616    ,-258.49597,-0.047637 ,-0.04712    ,4227.3916,0.021831 ,118.463234,0.101032    ,548.2305
13     ,Entry Long ,Enter Long ,2019-05-27 14:00:00,0.084075,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2019-06-06 02:00:00,0.083279,58142    ,-46.281033,-0.009468 ,-0.008854   ,4181.111 ,0.173357 ,847.4197  ,0.061421    ,300.2453
14     ,Entry Short,Enter Short,2019-06-06 02:00:00,0.083279,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2019-06-13 02:00:00,0.09093 ,61649    ,-471.6765 ,-0.091872 ,-0.091038   ,3709.434 ,0.072023 ,369.7707  ,0.161481    ,829.0557
15     ,Entry Long ,Enter Long ,2019-06-13 02:00:00,0.09093 ,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Long  ,Enter Short,2019-06-21 14:00:00,0.088752,47188    ,-102.77547,-0.023952 ,-0.021823   ,3606.6587,0.066755 ,286.43115 ,0.061344    ,263.21466
16     ,Entry Short,Enter Short,2019-06-21 14:00:00,0.088752,         ,          ,          ,            ,         ,         ,          ,            ,
       ,Exit Short ,Enter Long ,2019-06-23 02:00:00,0.091492,51368    ,-140.74832,-0.030873 ,-0.030553   ,3465.9104,0.000113 ,0.51368   ,0.097102    ,442.68942
17     ,Entry Long ,Enter Long ,2019-06-23 02:00:00,0.091492,         ,          ,          ,            ,         ,         ,          ,            ,
