Trade #,Type       ,Signal     ,Date/Time          ,Price  ,Contracts,Profit  ,ProfitPerc,ProfitEqPerc,ProfitEq,RunUpPerc,RunUp  ,DrawdownPerc,Drawdown
1      ,Entry Short,Enter Short,2013-12-07 13:00:00,788.4  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2013-12-27 13:00:00,747    ,1.2593   ,52.1    ,0.1       ,0.1         ,52.1    ,0.5      ,514.3  ,0.2         ,240.3
2      ,Entry Long ,Enter Long ,2013-12-27 13:00:00,747    ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-01-15 01:00:00,831    ,1.4085   ,118.3   ,0.1       ,0.1         ,170.4   ,0.4      ,383.1  ,0           ,46.3
3      ,Entry Short,Enter Short,2014-01-15 01:00:00,831    ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-02-03 01:00:00,814.9  ,1.3943   ,22.4    ,0         ,0           ,192.9   ,0.1      ,78.1   ,0           ,47.4
4      ,Entry Long ,Enter Long ,2014-02-03 01:00:00,814.9  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-02-05 01:00:00,802.4  ,1.4493   ,-18.1   ,-0        ,-0          ,174.8   ,0        ,7.1    ,0           ,22.2
5      ,Entry Short,Enter Short,2014-02-05 01:00:00,802.4  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-03-04 01:00:00,675    ,1.4494   ,184.7   ,0.2       ,0.2         ,359.4   ,0.4      ,510.8  ,0           ,19.6
6      ,Entry Long ,Enter Long ,2014-03-04 01:00:00,675    ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-03-12 13:00:00,642.5  ,2.0352   ,-66.1   ,-0        ,-0          ,293.3   ,0.1      ,91.6   ,0.2         ,253.8
7      ,Entry Short,Enter Short,2014-03-12 13:00:00,642.5  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-04-16 02:00:00,529.8  ,1.9927   ,224.6   ,0.2       ,0.2         ,517.9   ,0.4      ,575.4  ,0           ,33.5
8      ,Entry Long ,Enter Long ,2014-04-16 02:00:00,529.8  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-04-25 14:00:00,453.7  ,2.7885   ,-212.2  ,-0.1      ,-0.1        ,305.7   ,0        ,41.2   ,0.2         ,225.3
9      ,Entry Short,Enter Short,2014-04-25 14:00:00,453.7  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-05-10 14:00:00,450.5  ,2.849    ,9.1     ,0         ,0           ,314.8   ,0.1      ,89.8   ,0           ,64.1
10     ,Entry Long ,Enter Long ,2014-05-10 14:00:00,450.5  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-05-13 14:00:00,436.5  ,2.8889   ,-40.4   ,-0        ,-0          ,274.3   ,0        ,13     ,0           ,52.8
11     ,Entry Short,Enter Short,2014-05-13 14:00:00,436.5  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-05-16 14:00:00,453.8  ,2.8902   ,-50     ,-0        ,-0          ,224.3   ,0        ,0.1    ,0           ,50
12     ,Entry Long ,Enter Long ,2014-05-16 14:00:00,453.8  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-06-12 14:00:00,635.8  ,2.7538   ,501.2   ,0.4       ,0.4         ,725.5   ,0.5      ,617.2  ,0           ,22.7
13     ,Entry Short,Enter Short,2014-06-12 14:00:00,635.8  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-06-29 14:00:00,590.5  ,2.6866   ,121.7   ,0.1       ,0.1         ,847.2   ,0.2      ,272.8  ,0           ,0
14     ,Entry Long ,Enter Long ,2014-06-29 14:00:00,590.5  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-07-09 14:00:00,627    ,2.9841   ,108.9   ,0.1       ,0.1         ,956.1   ,0.1      ,204    ,0           ,8.3
15     ,Entry Short,Enter Short,2014-07-09 14:00:00,627    ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-07-13 02:00:00,632    ,3.0912   ,-15.5   ,-0        ,-0          ,940.7   ,0        ,38.7   ,0           ,38.3
16     ,Entry Long ,Enter Long ,2014-07-13 02:00:00,632    ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-07-16 14:00:00,614    ,2.9695   ,-53.5   ,-0        ,-0          ,887.2   ,0        ,63.8   ,0           ,53.5
17     ,Entry Short,Enter Short,2014-07-16 14:00:00,614    ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-07-22 02:00:00,618.7  ,3.0409   ,-14.3   ,-0        ,-0          ,872.9   ,0        ,11.1   ,0           ,48.7
18     ,Entry Long ,Enter Long ,2014-07-22 02:00:00,618.7  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-07-22 14:00:00,618.7  ,2.8913   ,0       ,0         ,0           ,872.9   ,0        ,0      ,0           ,0
19     ,Entry Short,Enter Short,2014-07-22 14:00:00,618.7  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-08-24 14:00:00,524.9  ,2.9969   ,281.1   ,0.2       ,0.2         ,1154.1  ,0.3      ,490.6  ,0           ,15.8
20     ,Entry Long ,Enter Long ,2014-08-24 14:00:00,524.9  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-08-29 02:00:00,524.8  ,4.0613   ,-0.4    ,-0        ,-0          ,1153.7  ,0        ,0      ,0.1         ,141.3
21     ,Entry Short,Enter Short,2014-08-29 02:00:00,524.8  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-08-30 14:00:00,495.3  ,4.0652   ,119.9   ,0.1       ,0.1         ,1273.6  ,0.1      ,119.9  ,0           ,0.3
22     ,Entry Long ,Enter Long ,2014-08-30 14:00:00,495.3  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-08-31 14:00:00,495    ,4.0615   ,-1.2    ,-0        ,-0          ,1272.4  ,0.1      ,119.7  ,0           ,1.2
23     ,Entry Short,Enter Short,2014-08-31 14:00:00,495    ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Short ,Enter Long ,2014-10-11 02:00:00,378.8  ,4.5447   ,528.1   ,0.2       ,0.2         ,1800.5  ,0.4      ,1007.4 ,0.1         ,150
24     ,Entry Long ,Enter Long ,2014-10-11 02:00:00,378.8  ,         ,        ,          ,            ,        ,         ,       ,            ,
       ,Exit Long  ,Enter Short,2014-10-24 02:00:00,368.4  ,8.0903   ,-84.1   ,-0        ,-0          ,1716.3  ,0.1      ,325.1  ,0.1         ,210.1
25     ,Entry Short,Enter Short,2014-10-24 02:00:00,368.4  ,         ,        ,          ,            ,        ,         ,       ,            ,
