Trade #,Type       ,Signal     ,Date/Time          ,Price  ,Contracts,Profit    ,ProfitPerc,ProfitEqPerc,ProfitEq ,RunUpPerc,RunUp    ,DrawdownPerc,Drawdown
1      ,Entry Short,Enter Short,2013-12-07 01:00:00,962    ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2013-12-11 17:00:00,919.9  ,1.0823   ,45.6      ,0         ,0           ,45.6     ,0.4      ,390.8    ,0           ,18.6
2      ,Entry Long ,Enter Long ,2013-12-11 17:00:00,919.9  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2013-12-14 17:00:00,877.9  ,1.1749   ,-49.3     ,-0        ,-0          ,-3.8     ,0        ,0        ,0.1         ,82.1
3      ,Entry Short,Enter Short,2013-12-14 17:00:00,877.9  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2013-12-26 01:00:00,667.5  ,1.1233   ,236.3     ,0.2       ,0.2         ,232.6    ,0.6      ,559.3    ,0           ,8
4      ,Entry Long ,Enter Long ,2013-12-26 01:00:00,667.5  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-01-10 09:00:00,836.9  ,1.7964   ,304.3     ,0.3       ,0.2         ,536.9    ,0.5      ,631.4    ,0           ,0
5      ,Entry Short,Enter Short,2014-01-10 09:00:00,836.9  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-01-12 01:00:00,882.4  ,1.818    ,-82.7     ,-0.1      ,-0.1        ,454.2    ,0        ,36.2     ,0.1         ,147.5
6      ,Entry Long ,Enter Long ,2014-01-12 01:00:00,882.4  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-01-14 01:00:00,840.5  ,1.5735   ,-65.9     ,-0        ,-0          ,388.2    ,0        ,29.2     ,0.1         ,106.1
7      ,Entry Short,Enter Short,2014-01-14 01:00:00,840.5  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-01-22 09:00:00,834.6  ,1.6357   ,9.7       ,0         ,0           ,397.9    ,0.1      ,85.9     ,0           ,60.2
8      ,Entry Long ,Enter Long ,2014-01-22 09:00:00,834.6  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-01-22 17:00:00,831.5  ,1.6573   ,-5.1      ,-0        ,-0          ,392.7    ,0        ,0.1      ,0           ,22.5
9      ,Entry Short,Enter Short,2014-01-22 17:00:00,831.5  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-01-27 17:00:00,831.8  ,1.6582   ,-0.5      ,-0        ,-0          ,392.2    ,0.1      ,80.4     ,0           ,14.1
10     ,Entry Long ,Enter Long ,2014-01-27 17:00:00,831.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-01-28 09:00:00,804.9  ,1.6442   ,-44.2     ,-0        ,-0          ,348      ,0        ,11.6     ,0.1         ,93.4
11     ,Entry Short,Enter Short,2014-01-28 09:00:00,804.9  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-02-02 09:00:00,823.9  ,1.6586   ,-31.5     ,-0        ,-0          ,316.5    ,0        ,43.1     ,0           ,49.9
12     ,Entry Long ,Enter Long ,2014-02-02 09:00:00,823.9  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-02-05 09:00:00,808.1  ,1.5621   ,-24.7     ,-0        ,-0          ,291.8    ,0        ,17.3     ,0           ,38
13     ,Entry Short,Enter Short,2014-02-05 09:00:00,808.1  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-02-28 01:00:00,600.7  ,1.5826   ,328.2     ,0.3       ,0.3         ,620      ,0.4      ,566.7    ,0           ,9.1
14     ,Entry Long ,Enter Long ,2014-02-28 01:00:00,600.7  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-03-02 01:00:00,578.3  ,2.6539   ,-59.4     ,-0        ,-0          ,560.6    ,0        ,11.4     ,0.1         ,134.6
15     ,Entry Short,Enter Short,2014-03-02 01:00:00,578.3  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-03-03 17:00:00,592.1  ,2.6716   ,-36.9     ,-0        ,-0          ,523.7    ,0        ,15.7     ,0.1         ,107.6
16     ,Entry Long ,Enter Long ,2014-03-03 17:00:00,592.1  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-03-10 01:00:00,644.3  ,2.464    ,128.6     ,0.1       ,0.1         ,652.4    ,0.2      ,315.1    ,0           ,0
17     ,Entry Short,Enter Short,2014-03-10 01:00:00,644.3  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-04-15 10:00:00,462.6  ,2.5389   ,461.3     ,0.3       ,0.3         ,1113.7   ,0.5      ,737.7    ,0.1         ,102.1
18     ,Entry Long ,Enter Long ,2014-04-15 10:00:00,462.6  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-04-24 02:00:00,494.1  ,4.3334   ,136.5     ,0.1       ,0.1         ,1250.2   ,0.2      ,481.3    ,0           ,0.2
19     ,Entry Short,Enter Short,2014-04-24 02:00:00,494.1  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-05-09 02:00:00,445    ,4.5091   ,221.4     ,0.1       ,0.1         ,1471.6   ,0.1      ,324.2    ,0           ,42.3
20     ,Entry Long ,Enter Long ,2014-05-09 02:00:00,445    ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-05-13 02:00:00,439.9  ,5.4962   ,-28       ,-0        ,-0          ,1443.5   ,0        ,78.2     ,0           ,70.3
21     ,Entry Short,Enter Short,2014-05-13 02:00:00,439.9  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-05-16 10:00:00,447.3  ,5.4991   ,-40.7     ,-0        ,-0          ,1402.8   ,0        ,19       ,0           ,55.5
22     ,Entry Long ,Enter Long ,2014-05-16 10:00:00,447.3  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-06-11 18:00:00,645.8  ,5.2881   ,1049.7    ,0.4       ,0.4         ,2452.5   ,0.5      ,1219.5   ,0           ,9.2
23     ,Entry Short,Enter Short,2014-06-11 18:00:00,645.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-06-18 18:00:00,606.6  ,5.2929   ,207.5     ,0.1       ,0.1         ,2660     ,0.2      ,590.3    ,0           ,0
24     ,Entry Long ,Enter Long ,2014-06-18 18:00:00,606.6  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-06-22 02:00:00,591.6  ,5.9432   ,-89.1     ,-0        ,-0          ,2570.9   ,0        ,121.6    ,0           ,167
25     ,Entry Short,Enter Short,2014-06-22 02:00:00,591.6  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-06-29 02:00:00,592.8  ,5.9759   ,-7.2      ,-0        ,-0          ,2563.7   ,0.1      ,204.2    ,0           ,76.4
26     ,Entry Long ,Enter Long ,2014-06-29 02:00:00,592.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-07-08 02:00:00,627.6  ,5.9553   ,207.2     ,0.1       ,0.1         ,2770.9   ,0.1      ,393.5    ,0           ,30.2
27     ,Entry Short,Enter Short,2014-07-08 02:00:00,627.6  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-07-13 02:00:00,633.8  ,5.9485   ,-36.9     ,-0        ,-0          ,2734.1   ,0        ,78.1     ,0           ,70.1
28     ,Entry Long ,Enter Long ,2014-07-13 02:00:00,633.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-07-16 10:00:00,621.7  ,5.7977   ,-70.2     ,-0        ,-0          ,2663.9   ,0        ,114.2    ,0           ,90.8
29     ,Entry Short,Enter Short,2014-07-16 10:00:00,621.7  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-07-20 02:00:00,628.4  ,5.8346   ,-39.1     ,-0        ,-0          ,2624.8   ,0        ,66.2     ,0           ,48.5
30     ,Entry Long ,Enter Long ,2014-07-20 02:00:00,628.4  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-07-23 18:00:00,619    ,5.6905   ,-53.5     ,-0        ,-0          ,2571.3   ,0        ,9.1      ,0           ,104.7
31     ,Entry Short,Enter Short,2014-07-23 18:00:00,619    ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-08-03 10:00:00,593.8  ,5.712    ,143.9     ,0         ,0           ,2715.3   ,0.1      ,298.4    ,0           ,25.3
32     ,Entry Long ,Enter Long ,2014-08-03 10:00:00,593.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-08-05 10:00:00,587.3  ,6.1742   ,-40.1     ,-0        ,-0          ,2675.1   ,0        ,15.1     ,0           ,92.3
33     ,Entry Short,Enter Short,2014-08-05 10:00:00,587.3  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-08-11 10:00:00,589.3  ,6.1954   ,-12.4     ,-0        ,-0          ,2662.7   ,0        ,62.3     ,0           ,66.5
34     ,Entry Long ,Enter Long ,2014-08-11 10:00:00,589.3  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-08-11 18:00:00,583.7  ,6.1467   ,-34.4     ,-0        ,-0          ,2628.3   ,0        ,0        ,0           ,69.1
35     ,Entry Short,Enter Short,2014-08-11 18:00:00,583.7  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-08-23 02:00:00,519.3  ,6.1545   ,396.3     ,0.1       ,0.1         ,3024.7   ,0.2      ,792.1    ,0           ,71.8
36     ,Entry Long ,Enter Long ,2014-08-23 02:00:00,519.3  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-09-01 02:00:00,502.4  ,7.7067   ,-130.2    ,-0        ,-0          ,2894.4   ,0        ,82.1     ,0.1         ,285.3
37     ,Entry Short,Enter Short,2014-09-01 02:00:00,502.4  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-10-10 18:00:00,371.7  ,7.6743   ,1003      ,0.3       ,0.3         ,3897.5   ,0.5      ,1758     ,0.1         ,196.5
38     ,Entry Long ,Enter Long ,2014-10-10 18:00:00,371.7  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-10-24 02:00:00,373.7  ,13.1331  ,26.3      ,0         ,0           ,3923.7   ,0.1      ,621.1    ,0.1         ,247.8
39     ,Entry Short,Enter Short,2014-10-24 02:00:00,373.7  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-11-07 09:00:00,342.3  ,13.0444  ,409.6     ,0.1       ,0.1         ,4333.3   ,0.1      ,700.5    ,0           ,143.7
40     ,Entry Long ,Enter Long ,2014-11-07 09:00:00,342.3  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-11-20 17:00:00,382.1  ,15.5748  ,619.9     ,0.1       ,0.1         ,4953.2   ,0.3      ,1677.4   ,0           ,189
41     ,Entry Short,Enter Short,2014-11-20 17:00:00,382.1  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-11-26 17:00:00,377.8  ,15.4244  ,66.3      ,0         ,0           ,5019.5   ,0.1      ,608.3    ,0           ,121.9
42     ,Entry Long ,Enter Long ,2014-11-26 17:00:00,377.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-12-05 17:00:00,378.4  ,16.0131  ,9.6       ,0         ,0           ,5029.1   ,0        ,147.3    ,0           ,276.7
43     ,Entry Short,Enter Short,2014-12-05 17:00:00,378.4  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2014-12-06 09:00:00,379.8  ,15.7741  ,-22.1     ,-0        ,-0          ,5007     ,0        ,179.8    ,0           ,255.4
44     ,Entry Long ,Enter Long ,2014-12-06 09:00:00,379.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2014-12-07 17:00:00,373.8  ,15.4097  ,-92.5     ,-0        ,-0          ,4914.6   ,0        ,227.9    ,0           ,144.4
45     ,Entry Short,Enter Short,2014-12-07 17:00:00,373.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-01-22 17:00:00,227.8  ,15.6664  ,2287.3    ,0.4       ,0.4         ,7201.9   ,0.5      ,3114.5   ,0           ,253.4
46     ,Entry Long ,Enter Long ,2015-01-22 17:00:00,227.8  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-01-30 01:00:00,233.9  ,34.0476  ,207.7     ,0         ,0           ,7409.6   ,0.3      ,2698.1   ,0.1         ,776.3
47     ,Entry Short,Enter Short,2015-01-30 01:00:00,233.9  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-02-14 09:00:00,232.7  ,35.6098  ,42.7      ,0         ,0           ,7452.3   ,0.1      ,1029.1   ,0.1         ,464.1
48     ,Entry Long ,Enter Long ,2015-02-14 09:00:00,232.7  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-02-25 17:00:00,238.1  ,34.8737  ,188.3     ,0         ,0           ,7640.6   ,0.1      ,1119.3   ,0           ,175.5
49     ,Entry Short,Enter Short,2015-02-25 17:00:00,238.1  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-02-27 17:00:00,246.2  ,35.9285  ,-291      ,-0        ,-0          ,7349.6   ,0        ,111.4    ,0.1         ,765.9
50     ,Entry Long ,Enter Long ,2015-02-27 17:00:00,246.2  ,         ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-03-15 09:00:00,285.3  ,32.3462  ,1264.7    ,0.2       ,0.2         ,8614.3   ,0.2      ,1740.2   ,0           ,200.4
