Trade #,Type       ,Signal     ,Date/Time          ,Price  ,Contracts     ,Profit      ,ProfitPerc,ProfitEqPerc,ProfitEq    ,RunUpPerc,RunUp       ,DrawdownPerc,Drawdown
1      ,Entry Long ,Enter Long ,2015-09-01 14:00:00,0.00583,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2015-09-07 14:00:00,0.00543,167441.8604   ,-66.97675   ,-0.06861  ,-0.06698    ,-66.97675   ,0.0446   ,43.53489    ,0.12521     ,122.23256
2      ,Entry Short,Enter Short,2015-09-07 14:00:00,0.00543,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2015-10-26 13:00:00,0.00216,170209.4228   ,556.58484   ,0.60221   ,0.59654     ,489.60806   ,0.71823  ,663.8168    ,0.00021     ,0.1939
3      ,Entry Long ,Enter Long ,2015-10-26 13:00:00,0.00216,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2015-11-05 01:00:00,0.00223,656941.7477   ,45.98592    ,0.03241   ,0.03087     ,535.594     ,0.90741  ,1287.6058   ,0.25926     ,367.8874
4      ,Entry Short,Enter Short,2015-11-05 01:00:00,0.00223,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2015-11-11 01:00:00,0.0027 ,684980.1294   ,-321.94067  ,-0.21076  ,-0.20965    ,213.65334   ,0.06726  ,102.74702   ,0.34529     ,527.4347
5      ,Entry Long ,Enter Long ,2015-11-11 01:00:00,0.0027 ,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2015-11-26 01:00:00,0.00273,422584.2571   ,12.67753    ,0.01111   ,0.01045     ,226.33086   ,0.14815  ,169.0337    ,0.14815     ,169.0337
6      ,Entry Short,Enter Short,2015-11-26 01:00:00,0.00273,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2015-12-14 13:00:00,0.0022 ,445356.1921   ,236.03879   ,0.19414   ,0.19248     ,462.36963   ,0.35165  ,427.54193   ,0.00116     ,1.41591
7      ,Entry Long ,Enter Long ,2015-12-14 13:00:00,0.0022 ,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2015-12-19 01:00:00,0.00203,651857.4735   ,-110.81577  ,-0.07727  ,-0.07578    ,351.55386   ,0.05     ,71.70432    ,0.11818     ,169.48294
8      ,Entry Short,Enter Short,2015-12-19 01:00:00,0.00203,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2015-12-30 01:00:00,0.002  ,659409.4343   ,19.78228    ,0.01478   ,0.01464     ,371.33615   ,0.07882  ,105.50551   ,0.05911     ,79.12914
9      ,Entry Long ,Enter Long ,2015-12-30 01:00:00,0.002  ,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2016-02-18 13:00:00,0.00994,682148.8055   ,5416.2617   ,3.97      ,3.94962     ,5787.5977   ,7.575    ,10334.555   ,0.00112     ,1.52679
10     ,Entry Short,Enter Short,2016-02-18 13:00:00,0.00994,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2016-02-24 01:00:00,0.0129 ,676048.0989   ,-2001.1024  ,-0.29779  ,-0.29482    ,3786.4954   ,0.06137  ,412.38934   ,0.39336     ,2643.3481
11     ,Entry Long ,Enter Long ,2016-02-24 01:00:00,0.0129 ,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2016-03-19 01:00:00,0.025  ,329028.2173   ,3981.2415   ,0.93798   ,0.83177     ,7767.737    ,1.8686   ,7931.225    ,0.00006     ,0.25474
12     ,Entry Short,Enter Short,2016-03-19 01:00:00,0.025  ,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2016-03-25 01:00:00,0.02739,348132.4171   ,-832.0365   ,-0.0956   ,-0.0949     ,6935.7000   ,0.07912  ,688.6059    ,0.2004      ,1744.1434
13     ,Entry Long ,Enter Long ,2016-03-25 01:00:00,0.02739,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2016-03-25 13:00:00,0.02693,304348.9044   ,-140.0005   ,-0.01679  ,-0.01764    ,6795.6997   ,0.00237  ,19.78268    ,0.07558     ,630.00226
14     ,Entry Short,Enter Short,2016-03-25 13:00:00,0.02693,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2016-03-30 14:00:00,0.02788,286329.6564   ,-272.01318  ,-0.03528  ,-0.03489    ,6523.6865   ,0.12737  ,982.1107    ,0.07675     ,591.8434
15     ,Entry Long ,Enter Long ,2016-03-30 14:00:00,0.02788,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2016-04-05 14:00:00,0.02652,259660.8938   ,-353.13882  ,-0.04878  ,-0.04694    ,6170.548    ,0.05771  ,417.79437   ,0.09527     ,689.65936
16     ,Entry Short,Enter Short,2016-04-05 14:00:00,0.02652,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2016-04-20 02:00:00,0.02092,267884.7632   ,1500.1547   ,0.21116   ,0.20921     ,7670.7026   ,0.37519  ,2665.4534   ,0           ,0
17     ,Entry Long ,Enter Long ,2016-04-20 02:00:00,0.02092,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Long  ,Enter Short,2016-04-21 14:00:00,0.01967,416837.1662   ,-521.04645  ,-0.05975  ,-0.06009    ,7149.656    ,0.00023  ,2.03785     ,0.10593     ,923.7112
18     ,Entry Short,Enter Short,2016-04-21 14:00:00,0.01967,              ,            ,          ,            ,            ,         ,            ,            ,
       ,Exit Short ,Enter Long ,2016-05-02 02:00:00,0.01895,410130.8425   ,295.29422   ,0.0366    ,0.03623     ,7444.95     ,0.23183  ,1870.1967   ,0.05796     ,467.54916
19     ,Entry Long ,Enter Long ,2016-05-02 02:00:00,0.01895,              ,            ,          ,            ,            ,         ,            ,            ,
