Trade #,Type       ,Signal     ,Date/Time          ,Price  ,Contracts  ,Profit    ,ProfitPerc,ProfitEqPerc,ProfitEq ,RunUpPerc,RunUp    ,DrawdownPerc,Drawdown
1      ,Entry Long ,Enter Long ,2015-09-02 14:00:00,1.34   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-09-11 02:00:00,1.2    ,727.81     ,-101.89   ,-0.1      ,-0.1        ,-101.89  ,0.03     ,32.75    ,0.16        ,160.11
2      ,Entry Short,Enter Short,2015-09-11 02:00:00,1.2    ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-10-26 13:00:00,0.61   ,741.3468   ,437.39    ,0.49      ,0.49        ,335.5    ,0.66     ,584.92   ,0           ,0.19
3      ,Entry Long ,Enter Long ,2015-10-26 13:00:00,0.61   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-11-07 13:00:00,0.89   ,2031.4503  ,568.81    ,0.46      ,0.43        ,904.31   ,1.2      ,1482.96  ,0.01        ,6.38
4      ,Entry Short,Enter Short,2015-11-07 13:00:00,0.89   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-11-09 13:00:00,0.96   ,2118.8359  ,-148.32   ,-0.08     ,-0.08       ,755.99   ,0.03     ,53.71    ,0.19        ,358.08
5      ,Entry Long ,Enter Long ,2015-11-09 13:00:00,0.96   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-11-12 13:00:00,0.88   ,1695.2971  ,-135.62   ,-0.08     ,-0.08       ,620.37   ,0.12     ,200.05   ,0.24        ,389.92
6      ,Entry Short,Enter Short,2015-11-12 13:00:00,0.88   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-11-19 01:00:00,0.96   ,1820.931   ,-145.67   ,-0.09     ,-0.09       ,474.69   ,0.25     ,398.42   ,0.14        ,218.51
7      ,Entry Long ,Enter Long ,2015-11-19 01:00:00,0.96   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-11-26 01:00:00,0.89   ,1449.1819  ,-101.44   ,-0.07     ,-0.07       ,373.25   ,0.04     ,57.95    ,0.1         ,134.25
8      ,Entry Short,Enter Short,2015-11-26 01:00:00,0.89   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2015-12-13 01:00:00,0.91   ,1529.752   ,-30.6     ,-0.02     ,-0.02       ,342.65   ,0.14     ,197.34   ,0.08        ,107.08
9      ,Entry Long ,Enter Long ,2015-12-13 01:00:00,0.91   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2015-12-24 13:00:00,0.88   ,1332.527   ,-39.98    ,-0.03     ,-0.03       ,302.68   ,0.21     ,252.91   ,0.12        ,146.58
10     ,Entry Short,Enter Short,2015-12-24 13:00:00,0.88   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2016-01-01 13:00:00,0.93   ,1468.8423  ,-73.44    ,-0.06     ,-0.06       ,229.23   ,0.05     ,58.75    ,0.14        ,176.26
11     ,Entry Long ,Enter Long ,2016-01-01 13:00:00,0.93   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2016-02-19 13:00:00,4.33   ,1251.197   ,4254.07   ,3.66      ,3.46        ,4483.3   ,5.96     ,6933.02  ,0.1         ,110.63
12     ,Entry Short,Enter Short,2016-02-19 13:00:00,4.33   ,           ,          ,          ,            ,         ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2016-02-23 01:00:00,5.01   ,1253.271   ,-852.22   ,-0.16     ,-0.16       ,3631.08  ,0.08     ,413.58   ,0.35        ,1892.44
