Trade #,Type       ,Signal     ,Date/Time          ,Price     ,Contracts,Profit    ,ProfitPerc ,ProfitEqPerc,ProfitEq  ,RunUpPerc ,RunUp     ,DrawdownPerc,Drawdown
1      ,Entry Short,Enter Short,2019-10-17 14:00:00,0.00029365,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Short ,Enter Long ,2019-10-22 14:00:00,0.00031983,3348837  ,-87.672554,-0.08915375,-0.08767255 ,-87.672554,0.02295249,22.571161 ,0.18317725  ,180.13394
2      ,Entry Long ,Enter Long ,2019-10-22 14:00:00,0.00031983,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Long  ,Enter Short,2019-10-28 01:00:00,0.00029259,2643341  ,-72.00461 ,-0.08517025,-0.07892408 ,-159.67715,0.67426443,570.0365  ,0.28912234  ,244.42975
3      ,Entry Short,Enter Short,2019-10-28 01:00:00,0.00029259,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Short ,Enter Long ,2019-11-09 01:00:00,0.00029768,2850547  ,-14.509284,-0.01739636,-0.01726632 ,-174.18645,0.07720701,64.39386  ,0.09026282  ,75.28294
4      ,Entry Long ,Enter Long ,2019-11-09 01:00:00,0.00029768,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Long  ,Enter Short,2019-11-23 01:00:00,0.00032735,2654437  ,78.75715  ,0.09967079 ,0.09536916  ,-95.4293  ,0.31953776,252.49005 ,0           ,0
5      ,Entry Short,Enter Short,2019-11-23 01:00:00,0.00032735,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Short ,Enter Long ,2019-12-11 13:00:00,0.00030284,2737331  ,67.09198  ,0.07487399 ,0.07416997  ,-28.337317,0.22187261,198.81235 ,0.03079273  ,27.592297
6      ,Entry Long ,Enter Long ,2019-12-11 13:00:00,0.00030284,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Long  ,Enter Short,2019-12-17 13:00:00,0.0002839 ,3051146  ,-57.788704,-0.06254128,-0.05947404 ,-86.12602 ,0.02301545,21.266487 ,0.10675605  ,98.64355
7      ,Entry Short,Enter Short,2019-12-17 13:00:00,0.0002839 ,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Short ,Enter Long ,2020-01-08 13:00:00,0.0002605 ,3189538  ,74.63519  ,0.08242339 ,0.08166902  ,-11.490833,0.18587531,168.31192 ,0.05294118  ,47.938755
8      ,Entry Long ,Enter Long ,2020-01-08 13:00:00,0.0002605 ,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Long  ,Enter Short,2020-01-28 13:00:00,0.00029369,3577288  ,118.73019 ,0.12740883 ,0.12011036  ,107.23936 ,0.26675624,248.58574 ,0.18483685  ,172.24641
9      ,Entry Short,Enter Short,2020-01-28 13:00:00,0.00029369,         ,          ,           ,            ,          ,          ,          ,            ,
       ,Exit Short ,Enter Long ,2020-01-31 13:00:00,0.0003042 ,3734718  ,-39.251884,-0.03578603,-0.03545023 ,67.98747  ,0.03922503,43.023952 ,0.07729238  ,84.7781
