Trade #,Type       ,Signal     ,Date/Time          ,Price   ,Contracts,Profit    ,ProfitPerc,ProfitEqPerc,ProfitEq  ,RunUpPerc,RunUp    ,DrawdownPerc,Drawdown
1      ,Entry Short,Enter Short,2019-10-17 14:00:00,2.3632  ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2019-10-22 14:00:00,2.77251 ,419      ,-171.50089,-0.1732   ,-0.1715     ,-171.50089,0.03423  ,33.8971  ,0.69262     ,685.8192
2      ,Entry Long ,Enter Long ,2019-10-22 14:00:00,2.77251 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2019-11-01 01:00:00,2.63996 ,240      ,-31.812   ,-0.04781  ,-0.0384     ,-203.3129 ,0.24436  ,162.5976 ,0.13436     ,89.4024
3      ,Entry Short,Enter Short,2019-11-01 01:00:00,2.63996 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2019-11-09 13:00:00,2.7086  ,298      ,-20.45472 ,-0.026    ,-0.02567    ,-223.76761,0.01687  ,13.27292 ,0.07407     ,58.2739
4      ,Entry Long ,Enter Long ,2019-11-09 13:00:00,2.7086  ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2019-11-20 01:00:00,2.72397 ,277      ,4.25749   ,0.00567   ,0.00548     ,-219.51012,0.17463  ,131.02377,0.04467     ,33.517
5      ,Entry Short,Enter Short,2019-11-20 01:00:00,2.72397 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2019-12-11 13:00:00,2.20494 ,283      ,146.88548 ,0.19054   ,0.1882      ,-72.62463 ,0.27679  ,213.3735 ,0.02685     ,20.70145
6      ,Entry Long ,Enter Long ,2019-12-11 13:00:00,2.20494 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2019-12-15 01:00:00,2.04564 ,405      ,-64.5165  ,-0.07225  ,-0.06957    ,-137.14113,0.02175  ,19.4238  ,0.10246     ,91.49355
7      ,Entry Short,Enter Short,2019-12-15 01:00:00,2.04564 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2020-01-07 01:00:00,1.87144 ,417      ,72.6414   ,0.08516   ,0.08419     ,-64.49973 ,0.20428  ,174.25597,0.03146     ,26.83812
8      ,Entry Long ,Enter Long ,2020-01-07 01:00:00,1.87144 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2020-01-25 13:00:00,2.47993 ,477      ,290.24973 ,0.32515   ,0.31026     ,225.75    ,0.53577  ,478.2736 ,0           ,0.00177
9      ,Entry Short,Enter Short,2020-01-25 13:00:00,2.47993 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Short ,Enter Long ,2020-01-29 01:00:00,2.61586 ,489      ,-66.46977 ,-0.05481  ,-0.05423    ,159.28023 ,0.02451  ,29.72631 ,0.07923     ,96.07872
10     ,Entry Long ,Enter Long ,2020-01-29 01:00:00,2.61586 ,         ,          ,          ,            ,          ,         ,         ,            ,
       ,Exit Long  ,Enter Short,2020-02-25 01:00:00,4.09141 ,432      ,637.4376  ,0.56408   ,0.54986     ,796.71783 ,0.86456  ,976.9939 ,0.24897     ,281.34863
