Trade #,Type       ,Signal     ,Date/Time          ,Price  ,Contracts,Profit    ,ProfitPerc,ProfitEqPerc,ProfitEq   ,RunUpPerc,RunUp      ,DrawdownPerc,Drawdown
1      ,Entry Long ,Enter Long ,2017-06-03 02:00:00,0.29715,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-06-11 14:00:00,0.26401,3368.9   ,-111.64535,-0.11153  ,-0.11165    ,-111.64535 ,0.04405  ,44.09216   ,0.1654      ,165.58144
2      ,Entry Short,Enter Short,2017-06-11 14:00:00,0.26401,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-06-20 14:00:00,0.28267,3331.1   ,-62.15832 ,-0.07068  ,-0.06997    ,-173.80367 ,0.23867  ,209.89261  ,0.21208     ,186.50829
3      ,Entry Long ,Enter Long ,2017-06-20 14:00:00,0.28267,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-06-27 02:00:00,0.25275,2560.4   ,-76.60717 ,-0.10585  ,-0.09272    ,-250.41084 ,0.13795  ,99.83768   ,0.25708     ,186.06427
4      ,Entry Short,Enter Short,2017-06-27 02:00:00,0.25275,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-07-22 14:00:00,0.18544,2952.7   ,198.74623 ,0.26631   ,0.26514     ,-51.6646   ,0.49911  ,372.4831   ,0.06825     ,50.93112
5      ,Entry Long ,Enter Long ,2017-07-22 14:00:00,0.18544,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-07-27 02:00:00,0.17413,5054.2   ,-57.163   ,-0.06099  ,-0.06028    ,-108.82761 ,0.1189   ,111.44006  ,0.13719     ,128.57884
6      ,Entry Short,Enter Short,2017-07-27 02:00:00,0.17413,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-08-04 14:00:00,0.17413,5067.3   ,0         ,0         ,0           ,-108.82761 ,0.10972  ,96.81583   ,0.06242     ,55.08155
7      ,Entry Long ,Enter Long ,2017-08-04 14:00:00,0.17413,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-08-13 14:00:00,0.17244,5033.9   ,-8.50729  ,-0.00971  ,-0.00955    ,-117.33489 ,0.13651  ,119.6558   ,0.09263     ,81.19681
8      ,Entry Short,Enter Short,2017-08-13 14:00:00,0.17244,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-08-22 14:00:00,0.18106,5070.1   ,-43.70426 ,-0.04999  ,-0.04951    ,-161.03915 ,0.13883  ,121.3782   ,0.21781     ,190.43295
9      ,Entry Long ,Enter Long ,2017-08-22 14:00:00,0.18106,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-09-06 02:00:00,0.21841,3963.2   ,148.02551 ,0.20629   ,0.17644     ,-13.01364  ,0.65139  ,467.4198   ,0           ,0.00087
10     ,Entry Short,Enter Short,2017-09-06 02:00:00,0.21841,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-09-27 14:00:00,0.19152,4468.1   ,120.14721 ,0.12312   ,0.12173     ,107.13357  ,0.31322  ,305.66272  ,0.09885     ,96.46628
11     ,Entry Long ,Enter Long ,2017-09-27 14:00:00,0.19152,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-10-19 02:00:00,0.2281 ,5390.9   ,197.19913 ,0.191     ,0.17812     ,304.3327   ,0.53979  ,557.3112   ,0.02        ,20.64715
12     ,Entry Short,Enter Short,2017-10-19 02:00:00,0.2281 ,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-11-05 13:00:00,0.20282,5677.3   ,143.52214 ,0.11083   ,0.11003     ,447.85483  ,0.21087  ,273.07812  ,0.00833     ,10.78687
13     ,Entry Long ,Enter Long ,2017-11-05 13:00:00,0.20282,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-11-13 13:00:00,0.20121,7101.4   ,-11.43325 ,-0.00794  ,-0.0079     ,436.42157  ,0.10443  ,150.40765  ,0.06567     ,94.59064
14     ,Entry Short,Enter Short,2017-11-13 13:00:00,0.20121,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-11-17 01:00:00,0.21629,7067.9   ,-106.58393,-0.07495  ,-0.0742     ,329.83765  ,0.02092  ,29.75586   ,0.32697     ,464.99713
15     ,Entry Long ,Enter Long ,2017-11-17 01:00:00,0.21629,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2017-12-06 13:00:00,0.2413 ,5565.7   ,139.19815 ,0.11563   ,0.10467     ,469.0358   ,0.29294  ,352.64276  ,0.02811     ,33.83946
16     ,Entry Short,Enter Short,2017-12-06 13:00:00,0.2413 ,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2017-12-13 01:00:00,0.28435,6036.8   ,-259.88425,-0.17841  ,-0.17691    ,209.15157  ,0.15044  ,219.13583  ,0.69913     ,1018.40814
17     ,Entry Long ,Enter Long ,2017-12-13 01:00:00,0.28435,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2018-01-11 01:00:00,1.99848,3054.1   ,5235.1245 ,6.02824   ,4.32958     ,5444.276   ,10.78087 ,9362.466   ,0.00002     ,0.01423
18     ,Entry Short,Enter Short,2018-01-11 01:00:00,1.99848,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2018-02-11 13:00:00,0.98449,3200.4   ,3245.1736 ,0.50738   ,0.50357     ,8689.449   ,0.71879  ,4597.3105  ,0.24595     ,1573.0607
19     ,Entry Long ,Enter Long ,2018-02-11 13:00:00,0.98449,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2018-02-22 13:00:00,0.98682,9810.2   ,22.85777  ,0.00237   ,0.00236     ,8712.308   ,0.22703  ,2192.6777  ,0.06031     ,582.4316
20     ,Entry Short,Enter Short,2018-02-22 13:00:00,0.98682,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2018-03-06 01:00:00,0.99118,9744.6   ,-42.48646 ,-0.00442  ,-0.00437    ,8669.821   ,0.13855  ,1332.2817  ,0.11051     ,1062.6487
21     ,Entry Long ,Enter Long ,2018-03-06 01:00:00,0.99118,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2018-03-08 13:00:00,0.8716 ,9432.6   ,-1127.9503,-0.12064  ,-0.11665    ,7541.8706  ,0        ,0          ,0.207       ,1935.2865
22     ,Entry Short,Enter Short,2018-03-08 13:00:00,0.8716 ,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2018-04-12 14:00:00,0.52419,9711.1   ,3373.7332 ,0.39859   ,0.39496     ,10915.604  ,0.48371  ,4094.1997  ,0           ,0.02148
23     ,Entry Long ,Enter Long ,2018-04-12 14:00:00,0.52419,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2018-05-09 02:00:00,0.81645,21307.8  ,6227.4175 ,0.55755   ,0.52263     ,17143.021  ,0.83903  ,9371.384   ,0           ,0
24     ,Entry Short,Enter Short,2018-05-09 02:00:00,0.81645,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2018-06-03 02:00:00,0.63124,22013.3  ,4077.0833 ,0.22685   ,0.22472     ,21220.105  ,0.33186  ,5964.5034  ,0           ,0
25     ,Entry Long ,Enter Long ,2018-06-03 02:00:00,0.63124,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2018-06-11 14:00:00,0.60164,33941.7  ,-1004.6743,-0.04689  ,-0.04521    ,20215.43   ,0.11536  ,2471.6345  ,0.12078     ,2587.715
26     ,Entry Short,Enter Short,2018-06-11 14:00:00,0.60164,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2018-07-04 14:00:00,0.48509,34961.6  ,4074.7744 ,0.19372   ,0.19207     ,24290.205  ,0.29508  ,6206.733   ,0           ,0.06457
27     ,Entry Long ,Enter Long ,2018-07-04 14:00:00,0.48509,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2018-07-10 14:00:00,0.46747,51919.6  ,-914.82336,-0.03632  ,-0.03617    ,23375.38   ,0.04311  ,1085.6388  ,0.09058     ,2281.3472
28     ,Entry Short,Enter Short,2018-07-10 14:00:00,0.46747,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Short ,Enter Long ,2018-07-18 02:00:00,0.48023,51626.4  ,-658.75287,-0.0273   ,-0.02703    ,22716.629  ,0.11438  ,2760.4636  ,0.11237     ,2711.9348
29     ,Entry Long ,Enter Long ,2018-07-18 02:00:00,0.48023,         ,          ,          ,            ,           ,         ,           ,            ,
       ,Exit Long  ,Enter Short,2018-07-22 14:00:00,0.45331,46574.7  ,-1253.7909,-0.05606  ,-0.05287    ,21462.838  ,0.09079  ,2030.6569  ,0.10637     ,2379.0356
30     ,Entry Short,Enter Short,2018-07-22 14:00:00,0.45331,         ,          ,          ,            ,           ,         ,           ,            ,
